layer,short_label,layer_group,alpha_mean,alpha_std,num_valid_alpha,q_l,stat_keep,q_keep,retained
decoder.block.11.layer.0.SelfAttention.o.weight,dec11.Self O,Self O,3.239891311424769,8.881784197001252e-16,196,0.5379438410956843,True,True,True
decoder.block.11.layer.0.SelfAttention.q.weight,dec11.Self Q,Self Q,4.567130277019326,0.06445856057065769,196,0.2598826799081375,True,True,True
decoder.block.11.layer.0.SelfAttention.v.weight,dec11.Self V,Self V,7.386325138952027,0.03710971467883685,196,0.0,False,False,False
decoder.block.11.layer.1.EncDecAttention.k.weight,dec11.Cross K,Cross K,3.088182976227969,8.881784197001252e-16,196,0.580336633484324,True,True,True
decoder.block.11.layer.1.EncDecAttention.o.weight,dec11.Cross O,Cross O,3.6157699145108517,1.3322676295501878e-15,196,0.4457752354448968,True,True,True
decoder.block.11.layer.1.EncDecAttention.q.weight,dec11.Cross Q,Cross Q,4.076744981483782,0.006089092620134649,196,0.35186334332119446,True,True,True
decoder.block.11.layer.1.EncDecAttention.v.weight,dec11.Cross V,Cross V,6.652957406542627,0.006626934855569659,196,0.0,False,False,False
decoder.block.11.layer.2.DenseReluDense.wi_0.weight,dec11.FFN In0,FFN In0,3.477530021894544,1.3322676295501878e-15,196,0.4776770205563379,True,True,True
decoder.block.11.layer.2.DenseReluDense.wi_1.weight,dec11.FFN In1,FFN In1,4.612000817872008,0.0,196,0.27088636535507166,True,True,True
decoder.block.11.layer.2.DenseReluDense.wo.weight,dec11.FFN Out,FFN Out,3.8738505967115984,4.440892098500626e-16,196,0.3918090201151896,True,True,True
decoder.block.2.layer.0.SelfAttention.k.weight,dec2.Self K,Self K,2.46124925197175,4.440892098500626e-16,196,0.7939934404851797,True,True,True
decoder.block.2.layer.0.SelfAttention.o.weight,dec2.Self O,Self O,2.634769470120574,0.0,196,0.7280102230760143,True,True,True
decoder.block.2.layer.0.SelfAttention.q.weight,dec2.Self Q,Self Q,2.5601864160400356,0.009304160278569548,196,0.7486812200160748,True,True,True
decoder.block.2.layer.0.SelfAttention.v.weight,dec2.Self V,Self V,4.819395628530061,0.07630099916997865,196,0.22641931215180133,True,True,True
decoder.block.2.layer.1.EncDecAttention.k.weight,dec2.Cross K,Cross K,3.3992917683357295,4.440892098500626e-16,196,0.4967336374464013,True,True,True
decoder.block.2.layer.1.EncDecAttention.o.weight,dec2.Cross O,Cross O,4.117414288058954,0.0,196,0.3468847810815513,True,True,True
decoder.block.2.layer.1.EncDecAttention.q.weight,dec2.Cross Q,Cross Q,3.46227529498463,0.005593353589155057,196,0.47865147954732523,True,True,True
decoder.block.2.layer.1.EncDecAttention.v.weight,dec2.Cross V,Cross V,6.716179978436032,0.032894420014081105,196,0.0,False,False,False
decoder.block.2.layer.2.DenseReluDense.wi_0.weight,dec2.FFN In0,FFN In0,3.682201883841245,0.0,196,0.4312115840546072,True,True,True
decoder.block.2.layer.2.DenseReluDense.wi_1.weight,dec2.FFN In1,FFN In1,4.673332423269692,1.7763568394002505e-15,196,0.262705495089678,True,True,True
decoder.block.2.layer.2.DenseReluDense.wo.weight,dec2.FFN Out,FFN Out,5.257250135320331,8.881784197001252e-16,196,0.19618826975942438,True,False,False
decoder.block.3.layer.0.SelfAttention.k.weight,dec3.Self K,Self K,2.6002852329359136,8.881784197001252e-16,196,0.740671501640226,True,True,True
decoder.block.3.layer.0.SelfAttention.o.weight,dec3.Self O,Self O,2.2298909662962103,0.0,196,0.8913653093344416,True,True,True
decoder.block.3.layer.0.SelfAttention.q.weight,dec3.Self Q,Self Q,2.3869401607298983,0.009961187218215942,196,0.81589113694726,True,True,True
decoder.block.3.layer.0.SelfAttention.v.weight,dec3.Self V,Self V,2.8180733408828478,0.0062140167588104625,196,0.6601413133201145,True,True,True
decoder.block.3.layer.1.EncDecAttention.k.weight,dec3.Cross K,Cross K,2.6589808925227842,8.881784197001252e-16,196,0.7192502712667409,True,True,True
decoder.block.3.layer.1.EncDecAttention.o.weight,dec3.Cross O,Cross O,3.6460834406422324,0.0,196,0.4390696715131015,True,True,True
decoder.block.3.layer.1.EncDecAttention.q.weight,dec3.Cross Q,Cross Q,3.4063936207973584,0.00745015134102976,196,0.4913023997852585,True,True,True
decoder.block.3.layer.1.EncDecAttention.v.weight,dec3.Cross V,Cross V,4.73898011099563,0.049922000286042434,196,0.24192095796098873,True,True,True
decoder.block.3.layer.2.DenseReluDense.wi_0.weight,dec3.FFN In0,FFN In0,3.733537812376185,4.440892098500626e-16,196,0.42028410356525464,True,True,True
decoder.block.3.layer.2.DenseReluDense.wi_1.weight,dec3.FFN In1,FFN In1,4.861961493872043,1.7763568394002505e-15,196,0.23906107875096627,True,True,True
decoder.block.3.layer.2.DenseReluDense.wo.weight,dec3.FFN Out,FFN Out,3.9362980194983743,0.0,196,0.37976430720650517,True,True,True
decoder.block.4.layer.0.SelfAttention.k.weight,dec4.Self K,Self K,3.3171080948803615,0.0,196,0.5175705158687973,True,True,True
decoder.block.4.layer.0.SelfAttention.o.weight,dec4.Self O,Self O,2.234667528487162,0.0,196,0.8892390185177523,True,True,True
decoder.block.4.layer.0.SelfAttention.q.weight,dec4.Self Q,Self Q,2.8779001326403923,0.00334509386515679,196,0.6425252168002857,True,True,True
decoder.block.4.layer.0.SelfAttention.v.weight,dec4.Self V,Self V,4.115767619033215,0.07689577349106765,196,0.32172108937229466,True,True,True
decoder.block.4.layer.1.EncDecAttention.k.weight,dec4.Cross K,Cross K,3.16942963445765,8.881784197001252e-16,196,0.5572338602399968,True,True,True
decoder.block.4.layer.1.EncDecAttention.o.weight,dec4.Cross O,Cross O,3.582609420976092,0.0,196,0.4532279117268203,True,True,True
decoder.block.4.layer.1.EncDecAttention.q.weight,dec4.Cross Q,Cross Q,3.4760545798798987,0.023716901739398975,196,0.46685890964828314,True,True,True
decoder.block.4.layer.1.EncDecAttention.v.weight,dec4.Cross V,Cross V,8.20157590484499,0.08188021976145267,196,0.0,False,False,False
decoder.block.4.layer.2.DenseReluDense.wi_0.weight,dec4.FFN In0,FFN In0,3.6711347710781568,8.881784197001252e-16,196,0.4336043317639856,True,True,True
decoder.block.4.layer.2.DenseReluDense.wi_1.weight,dec4.FFN In1,FFN In1,4.992578802220945,0.0,196,0.22394722574281917,True,True,True
decoder.block.4.layer.2.DenseReluDense.wo.weight,dec4.FFN Out,FFN Out,3.501202917520444,1.3322676295501878e-15,196,0.4720563514313231,True,True,True
decoder.block.5.layer.0.SelfAttention.k.weight,dec5.Self K,Self K,3.86486959776819,4.440892098500626e-16,196,0.3935723945659038,True,True,True
decoder.block.5.layer.0.SelfAttention.o.weight,dec5.Self O,Self O,2.674746006514998,4.440892098500626e-16,196,0.7136030266137326,True,True,True
decoder.block.5.layer.0.SelfAttention.q.weight,dec5.Self Q,Self Q,3.2662901889067655,0.00966904232789672,196,0.5257876340374037,True,True,True
decoder.block.5.layer.0.SelfAttention.v.weight,dec5.Self V,Self V,4.351972848625459,0.017356660201215752,196,0.30320070705790036,True,True,True
decoder.block.5.layer.1.EncDecAttention.k.weight,dec5.Cross K,Cross K,3.1928393894766165,4.440892098500626e-16,196,0.5507495293427156,True,True,True
decoder.block.5.layer.1.EncDecAttention.o.weight,dec5.Cross O,Cross O,3.2886765882587836,0.0,196,0.5249807166443503,True,True,True
decoder.block.5.layer.1.EncDecAttention.q.weight,dec5.Cross Q,Cross Q,3.4697373384481263,0.007841491155531876,196,0.475799861909446,True,True,True
decoder.block.5.layer.1.EncDecAttention.v.weight,dec5.Cross V,Cross V,6.33530233145993,0.08077821214709699,196,0.0,False,False,False
decoder.block.5.layer.2.DenseReluDense.wi_0.weight,dec5.FFN In0,FFN In0,3.535001399714799,0.0,196,0.46414598518571154,True,True,True
decoder.block.5.layer.2.DenseReluDense.wi_1.weight,dec5.FFN In1,FFN In1,4.7416367369119925,0.0,196,0.25388501238986466,True,True,True
decoder.block.5.layer.2.DenseReluDense.wo.weight,dec5.FFN Out,FFN Out,3.5934392120546814,1.3322676295501878e-15,196,0.4507803625213626,True,True,True
decoder.block.6.layer.0.SelfAttention.k.weight,dec6.Self K,Self K,3.2900650394503113,1.3322676295501878e-15,196,0.5246163880713156,True,True,True
decoder.block.6.layer.0.SelfAttention.o.weight,dec6.Self O,Self O,2.336802493215306,4.440892098500626e-16,196,0.8449678499505499,True,True,True
decoder.block.6.layer.0.SelfAttention.q.weight,dec6.Self Q,Self Q,3.213620062134483,0.021399294446092888,196,0.5335472374429991,True,True,True
decoder.block.6.layer.0.SelfAttention.v.weight,dec6.Self V,Self V,5.790202518837335,0.009325441074112187,196,0.1489013526029271,True,False,False
decoder.block.6.layer.1.EncDecAttention.k.weight,dec6.Cross K,Cross K,2.4858851168692775,8.881784197001252e-16,196,0.7842730732408825,True,True,True
decoder.block.6.layer.1.EncDecAttention.o.weight,dec6.Cross O,Cross O,2.9533646721920337,4.440892098500626e-16,196,0.6208052897849536,True,True,True
decoder.block.6.layer.1.EncDecAttention.q.weight,dec6.Cross Q,Cross Q,3.108111802861724,0.010284788587170518,196,0.5687109321343293,True,True,True
decoder.block.6.layer.1.EncDecAttention.v.weight,dec6.Cross V,Cross V,6.554496955148007,0.500847529079694,196,0.010141275386968726,False,False,False
decoder.block.6.layer.2.DenseReluDense.wi_0.weight,dec6.FFN In0,FFN In0,2.7164092426474236,0.0,196,0.6988912875937512,True,True,True
decoder.block.6.layer.2.DenseReluDense.wi_1.weight,dec6.FFN In1,FFN In1,3.2989996901007785,8.881784197001252e-16,196,0.5222779830917057,True,True,True
decoder.block.6.layer.2.DenseReluDense.wo.weight,dec6.FFN Out,FFN Out,2.8960722892955104,8.881784197001252e-16,196,0.6388461644584061,True,True,True
decoder.block.7.layer.0.SelfAttention.k.weight,dec7.Self K,Self K,3.8171322565077754,4.440892098500626e-16,196,0.4030794534960893,True,True,True
decoder.block.7.layer.0.SelfAttention.o.weight,dec7.Self O,Self O,2.8144090259084686,8.881784197001252e-16,196,0.6654711678742187,True,True,True
decoder.block.7.layer.0.SelfAttention.q.weight,dec7.Self Q,Self Q,3.7939148270143397,0.026477559654174324,196,0.39716506320758527,True,True,True
decoder.block.7.layer.0.SelfAttention.v.weight,dec7.Self V,Self V,5.979072036540805,0.003628913472921581,196,0.13625614611729842,True,False,False
decoder.block.7.layer.1.EncDecAttention.k.weight,dec7.Cross K,Cross K,2.782700113218777,0.0,196,0.6761059328976354,True,True,True
decoder.block.7.layer.1.EncDecAttention.o.weight,dec7.Cross O,Cross O,3.032769179390197,0.0,196,0.5966407873980208,True,True,True
decoder.block.7.layer.1.EncDecAttention.q.weight,dec7.Cross Q,Cross Q,2.919155957702964,0.027797197250823646,196,0.6142623843276974,True,True,True
decoder.block.7.layer.1.EncDecAttention.v.weight,dec7.Cross V,Cross V,5.265016424977815,0.0073636673562960326,196,0.19399546223076553,True,False,False
decoder.block.7.layer.2.DenseReluDense.wi_0.weight,dec7.FFN In0,FFN In0,2.7779378279071794,4.440892098500626e-16,196,0.6777177558028683,True,True,True
decoder.block.7.layer.2.DenseReluDense.wi_1.weight,dec7.FFN In1,FFN In1,4.153390255268289,8.881784197001252e-16,196,0.340700808667449,True,True,True
decoder.block.7.layer.2.DenseReluDense.wo.weight,dec7.FFN Out,FFN Out,3.7533056258710014,0.0,196,0.4161505163249508,True,True,True
decoder.block.8.layer.0.SelfAttention.k.weight,dec8.Self K,Self K,4.16806730217503,8.881784197001252e-16,196,0.3382097194304239,True,True,True
decoder.block.8.layer.0.SelfAttention.o.weight,dec8.Self O,Self O,3.2425340392015207,8.881784197001252e-16,196,0.5372334909489587,True,True,True
decoder.block.8.layer.0.SelfAttention.q.weight,dec8.Self Q,Self Q,4.228504760677278,0.008286504784021041,196,0.32543722490569865,True,True,True
decoder.block.8.layer.0.SelfAttention.v.weight,dec8.Self V,Self V,5.422086476824383,0.009713142426338962,196,0.17892297074547117,True,False,False
decoder.block.8.layer.1.EncDecAttention.k.weight,dec8.Cross K,Cross K,2.933286177408072,0.0,196,0.6270690970177287,True,True,True
decoder.block.8.layer.1.EncDecAttention.o.weight,dec8.Cross O,Cross O,3.018610088438433,0.0,196,0.6008797201391446,True,True,True
decoder.block.8.layer.1.EncDecAttention.q.weight,dec8.Cross Q,Cross Q,3.8339513211390375,0.07167956359718844,196,0.3722884434033459,True,True,True
decoder.block.8.layer.1.EncDecAttention.v.weight,dec8.Cross V,Cross V,4.3984076513345185,0.06961280185383083,196,0.2813237100354833,True,True,True
decoder.block.8.layer.2.DenseReluDense.wi_0.weight,dec8.FFN In0,FFN In0,3.0073171433810826,4.440892098500626e-16,196,0.6042821678457847,True,True,True
decoder.block.8.layer.2.DenseReluDense.wi_1.weight,dec8.FFN In1,FFN In1,4.44927115438368,8.881784197001252e-16,196,0.2938484765664541,True,True,True
decoder.block.8.layer.2.DenseReluDense.wo.weight,dec8.FFN Out,FFN Out,4.058290233084122,0.0,196,0.35729247686822546,True,True,True
decoder.block.9.layer.0.SelfAttention.k.weight,dec9.Self K,Self K,3.8928804339971497,4.440892098500626e-16,196,0.3880986690023771,True,True,True
decoder.block.9.layer.0.SelfAttention.o.weight,dec9.Self O,Self O,3.13732220672453,4.440892098500626e-16,196,0.5662517246221533,True,True,True
decoder.block.9.layer.0.SelfAttention.q.weight,dec9.Self Q,Self Q,3.3709402004609923,0.007747804052431471,196,0.4999406571704706,True,True,True
decoder.block.9.layer.0.SelfAttention.v.weight,dec9.Self V,Self V,5.219981915562131,0.007565747458383389,196,0.19837321234619304,True,False,False
decoder.block.9.layer.1.EncDecAttention.k.weight,dec9.Cross K,Cross K,2.8196060543865373,0.0,196,0.6637441763466294,True,True,True
decoder.block.9.layer.1.EncDecAttention.o.weight,dec9.Cross O,Cross O,3.66649301462697,4.440892098500626e-16,196,0.4346118433196712,True,True,True
decoder.block.9.layer.1.EncDecAttention.q.weight,dec9.Cross Q,Cross Q,2.7817345341977764,0.06634004333268707,196,0.6333619388664778,True,True,True
decoder.block.9.layer.1.EncDecAttention.v.weight,dec9.Cross V,Cross V,7.79399816871309,0.012877305202670919,196,0.0,False,False,False
decoder.block.9.layer.2.DenseReluDense.wi_0.weight,dec9.FFN In0,FFN In0,3.505953230955538,4.440892098500626e-16,196,0.47093647408573064,True,True,True
decoder.block.9.layer.2.DenseReluDense.wi_1.weight,dec9.FFN In1,FFN In1,4.681263042415892,8.881784197001252e-16,196,0.2616658490964526,True,True,True
decoder.block.9.layer.2.DenseReluDense.wo.weight,dec9.FFN Out,FFN Out,4.139801329685083,1.7763568394002505e-15,196,0.3430235696557684,True,True,True
encoder.block.0.layer.0.SelfAttention.k.weight,enc0.Self K,Self K,5.695549453756177,0.0,196,0.15757871307296553,True,False,False
encoder.block.0.layer.0.SelfAttention.o.weight,enc0.Self O,Self O,2.347139805534241,4.440892098500626e-16,196,0.8406117689086291,True,True,True
encoder.block.0.layer.0.SelfAttention.q.weight,enc0.Self Q,Self Q,3.162779600159028,0.16904901491213753,196,0.4734846001217128,True,True,True
encoder.block.0.layer.0.SelfAttention.v.weight,enc0.Self V,Self V,5.738937195076997,0.028917404804215525,196,0.1498171899377214,True,False,False
encoder.block.0.layer.1.DenseReluDense.wi_0.weight,enc0.FFN In0,FFN In0,2.7208791513904234,8.881784197001252e-16,196,0.6973310416440479,True,True,True
encoder.block.0.layer.1.DenseReluDense.wi_1.weight,enc0.FFN In1,FFN In1,3.267785836814958,4.440892098500626e-16,196,0.5304930766932248,True,True,True
encoder.block.0.layer.1.DenseReluDense.wo.weight,enc0.FFN Out,FFN Out,2.6731854102359276,4.440892098500626e-16,196,0.7141600670283018,True,True,True
encoder.block.1.layer.0.SelfAttention.k.weight,enc1.Self K,Self K,2.005741914078443,4.440892098500626e-16,196,0.9970778675882599,True,True,True
encoder.block.1.layer.0.SelfAttention.o.weight,enc1.Self O,Self O,1.9384196850839932,0.0,196,0.0,False,False,False
encoder.block.1.layer.0.SelfAttention.q.weight,enc1.Self Q,Self Q,1.9704491369858657,0.002852988089725766,196,0.0,False,False,False
encoder.block.1.layer.0.SelfAttention.v.weight,enc1.Self V,Self V,7.219212021804914,0.04721422758458341,196,0.0,False,False,False
encoder.block.1.layer.1.DenseReluDense.wi_0.weight,enc1.FFN In0,FFN In0,2.8886229685094773,4.440892098500626e-16,196,0.6412300863581047,True,True,True
encoder.block.1.layer.1.DenseReluDense.wi_1.weight,enc1.FFN In1,FFN In1,5.104740695421164,0.0,196,0.21173372649493277,True,True,True
encoder.block.1.layer.1.DenseReluDense.wo.weight,enc1.FFN Out,FFN Out,2.8228479047969737,8.881784197001252e-16,196,0.6626691681706685,True,True,True
encoder.block.10.layer.0.SelfAttention.k.weight,enc10.Self K,Self K,3.6492296209240016,8.881784197001252e-16,196,0.4383795183205957,True,True,True
encoder.block.10.layer.0.SelfAttention.o.weight,enc10.Self O,Self O,3.419526725531781,4.440892098500626e-16,196,0.49173328364127167,True,True,True
encoder.block.10.layer.0.SelfAttention.q.weight,enc10.Self Q,Self Q,3.7252476162578456,0.06533962163614651,196,0.3955442911906897,True,True,True
encoder.block.10.layer.0.SelfAttention.v.weight,enc10.Self V,Self V,6.5562382831020525,0.005193426900493294,196,0.0,False,False,False
encoder.block.10.layer.1.DenseReluDense.wi_0.weight,enc10.FFN In0,FFN In0,3.5749828372852748,8.881784197001252e-16,196,0.4549595014569368,True,True,True
encoder.block.10.layer.1.DenseReluDense.wi_1.weight,enc10.FFN In1,FFN In1,6.759155431274243,8.881784197001252e-16,196,0.0,False,False,False
encoder.block.10.layer.1.DenseReluDense.wo.weight,enc10.FFN Out,FFN Out,3.464001375282046,4.440892098500626e-16,196,0.48091913535349556,True,True,True
encoder.block.11.layer.0.SelfAttention.k.weight,enc11.Self K,Self K,3.53288258953522,4.440892098500626e-16,196,0.46463796436142996,True,True,True
encoder.block.11.layer.0.SelfAttention.o.weight,enc11.Self O,Self O,3.4746668017703635,0.0,196,0.47836135752035824,True,True,True
encoder.block.11.layer.0.SelfAttention.q.weight,enc11.Self Q,Self Q,4.083146301344076,0.037248757207089755,196,0.34003563276059,True,True,True
encoder.block.11.layer.0.SelfAttention.v.weight,enc11.Self V,Self V,4.713827746319288,0.004713458396550064,196,0.256229941933758,True,True,True
encoder.block.11.layer.1.DenseReluDense.wi_0.weight,enc11.FFN In0,FFN In0,3.5230937271119003,4.440892098500626e-16,196,0.46691767731447564,True,True,True
encoder.block.11.layer.1.DenseReluDense.wi_1.weight,enc11.FFN In1,FFN In1,6.52123038156382,0.0,196,0.0,False,False,False
encoder.block.11.layer.1.DenseReluDense.wo.weight,enc11.FFN Out,FFN Out,3.5020610032396466,8.881784197001252e-16,196,0.47185386246574035,True,True,True
encoder.block.2.layer.0.SelfAttention.k.weight,enc2.Self K,Self K,3.375136834245727,4.440892098500626e-16,196,0.50276929595027,True,True,True
encoder.block.2.layer.0.SelfAttention.o.weight,enc2.Self O,Self O,2.8058944748106964,4.440892098500626e-16,196,0.6683103012040214,True,True,True
encoder.block.2.layer.0.SelfAttention.q.weight,enc2.Self Q,Self Q,3.097876335185933,0.00862296562585854,196,0.5725774038935009,True,True,True
encoder.block.2.layer.0.SelfAttention.v.weight,enc2.Self V,Self V,3.7510445621264275,0.001560098845732079,196,0.4159719168741355,True,True,True
encoder.block.2.layer.1.DenseReluDense.wi_0.weight,enc2.FFN In0,FFN In0,3.0431124652922823,8.881784197001252e-16,196,0.5935631393834324,True,True,True
encoder.block.2.layer.1.DenseReluDense.wi_1.weight,enc2.FFN In1,FFN In1,6.107052675224424,0.0,196,0.0,False,False,False
encoder.block.2.layer.1.DenseReluDense.wo.weight,enc2.FFN Out,FFN Out,3.267254822047737,4.440892098500626e-16,196,0.5306339452220308,True,True,True
encoder.block.3.layer.0.SelfAttention.k.weight,enc3.Self K,Self K,3.5549164125622794,4.440892098500626e-16,196,0.4595471828568195,True,True,True
encoder.block.3.layer.0.SelfAttention.o.weight,enc3.Self O,Self O,2.6891654849205056,0.0,196,0.7084766370693224,True,True,True
encoder.block.3.layer.0.SelfAttention.q.weight,enc3.Self Q,Self Q,3.1694386998047097,0.05515552968230079,196,0.52753544596986,True,True,True
encoder.block.3.layer.0.SelfAttention.v.weight,enc3.Self V,Self V,4.402865568812313,0.0024795885892092604,196,0.30000172415780585,True,True,True
encoder.block.3.layer.1.DenseReluDense.wi_0.weight,enc3.FFN In0,FFN In0,3.143448912227252,4.440892098500626e-16,196,0.5645197500225695,True,True,True
encoder.block.3.layer.1.DenseReluDense.wi_1.weight,enc3.FFN In1,FFN In1,7.320289840499367,2.6645352591003757e-15,196,0.0,False,False,False
encoder.block.3.layer.1.DenseReluDense.wo.weight,enc3.FFN Out,FFN Out,3.2576553233913996,0.0,196,0.533186977199566,True,True,True
encoder.block.4.layer.0.SelfAttention.k.weight,enc4.Self K,Self K,3.525930469691406,4.440892098500626e-16,196,0.46625588413146857,True,True,True
encoder.block.4.layer.0.SelfAttention.o.weight,enc4.Self O,Self O,2.695182494547165,0.0,196,0.706348384730522,True,True,True
encoder.block.4.layer.0.SelfAttention.q.weight,enc4.Self Q,Self Q,3.3769834441281854,0.004197601374628613,196,0.5002023472684192,True,True,True
encoder.block.4.layer.0.SelfAttention.v.weight,enc4.Self V,Self V,3.5511529356914795,0.005308999021637011,196,0.45797649909709287,True,True,True
encoder.block.4.layer.1.DenseReluDense.wi_0.weight,enc4.FFN In0,FFN In0,3.174743952167535,4.440892098500626e-16,196,0.5557551667857151,True,True,True
encoder.block.4.layer.1.DenseReluDense.wi_1.weight,enc4.FFN In1,FFN In1,6.149994546296417,0.0,196,0.0,False,False,False
encoder.block.4.layer.1.DenseReluDense.wo.weight,enc4.FFN Out,FFN Out,3.4292169427715384,8.881784197001252e-16,196,0.4893565448982147,True,True,True
encoder.block.5.layer.0.SelfAttention.k.weight,enc5.Self K,Self K,3.4279213559882082,4.440892098500626e-16,196,0.4896736495322218,True,True,True
encoder.block.5.layer.0.SelfAttention.o.weight,enc5.Self O,Self O,2.8220487419139526,4.440892098500626e-16,196,0.6629340113818231,True,True,True
encoder.block.5.layer.0.SelfAttention.q.weight,enc5.Self Q,Self Q,3.1604151181799303,0.0029892466893156225,196,0.5580810137218918,True,True,True
encoder.block.5.layer.0.SelfAttention.v.weight,enc5.Self V,Self V,3.6013503871304122,0.03061991337471069,196,0.43551243239197224,True,True,True
encoder.block.5.layer.1.DenseReluDense.wi_0.weight,enc5.FFN In0,FFN In0,3.1305448845520973,4.440892098500626e-16,196,0.5681738146228946,True,True,True
